"utm10","especie"
"PG60","Microtus lusitanicus"
"NB18","Arvicola sapidus"
"PG73","Capreolus capreolus"
"NC20","Lepus granatensis"
"NC68","Vulpes vulpes"
"NB81","Vulpes vulpes"
"NC47","Martes foina"
"ND83","Microtus cabrerae"
"PF32","Vulpes vulpes"
"NE50","Meles meles"
"ND59","Apodemus sylvaticus"
"NC78","Talpa occidentalis"
"NF58","Talpa occidentalis"
"NC67","Martes foina"
"PB06","Lynx pardinus"
"PC13","Erinaceus europaeus"
"NE29","Arvicola sapidus"
"PD43","Apodemus sylvaticus"
"PF16","Oryctolagus cuniculus"
"NB26","Microtus cabrerae"
"PC42","Oryctolagus cuniculus"
"PC46","Mus spretus"
"PF13","Canis lupus"
"NB31","Talpa occidentalis"
"ND10","Talpa occidentalis"
"NE15","Mus spretus"
"ND07","Vulpes vulpes"
"PC18","Talpa occidentalis"
"NC36","Martes foina"
"PF63","Lepus granatensis"
"PF33","Vulpes vulpes"
"Madeira","Rattus norvegicus"
"NB17","Arvicola sapidus"
"PB15","Vulpes vulpes"
"NC68","Lepus granatensis"
"NE51","Vulpes vulpes"
"PC47","Arvicola sapidus"
"NF36","Mus spretus"
"NC56","Apodemus sylvaticus"
"PD26","Mus spretus"
"MC97","Crocidura russula"
"NB27","Lepus granatensis"
"NB45","Microtus cabrerae"
"PE67","Capreolus capreolus"
"NC38","Martes foina"
"PB18","Vulpes vulpes"
"PF73","Microtus cabrerae"
"NF27","Crocidura russula"
"NC40","Apodemus sylvaticus"
"NC58","Lepus granatensis"
"NC97","Lepus granatensis"
"ND60","Microtus cabrerae"
"NC81","Lutra lutra"
"NC45","Genetta genetta"
"PF67","Crocidura russula"
"PC52","Oryctolagus cuniculus"
"PE62","Sus scrofa"
"NE46","Meles meles"
"MC86","Apodemus sylvaticus"
"NE47","Mus spretus"
"QG21","Genetta genetta"
"NE50","Rattus rattus"
"PE45","Lepus granatensis"
"NC20","Microtus cabrerae"
"PG93","Microtus cabrerae"
"NB28","Arvicola sapidus"
"PF52","Vulpes vulpes"
"ND31","Apodemus sylvaticus"
"NC65","Mus spretus"
"NB00","Microtus cabrerae"
"PF65","Microtus cabrerae"
"PE66","Capreolus capreolus"
"NC31","Meles meles"
"PF18","Vulpes vulpes"
"NC65","Microtus cabrerae"
"NG72","Sorex granarius"
"PD43","Talpa occidentalis"
"NF27","Microtus agrestis"
"PG83","Crocidura russula"
"NB31","Microtus duodecimcostatus"
"PE63","Lepus granatensis"
"NG34","Canis lupus"
"NB81","Oryctolagus cuniculus"
"PB21","Vulpes vulpes"
"NE89","Microtus agrestis"
"ND08","Apodemus sylvaticus"
"MC95","Meles meles"
"PortoSanto","Rattus rattus"
"NF62","Martes foina"
"NB95","Vulpes vulpes"
"PE11","Martes foina"
"ND60","Mus spretus"
"ND17","Mus musculus"
"QG00","Capreolus capreolus"
"PG90","Apodemus sylvaticus"
"ND60","Microtus lusitanicus"
"Flores","Mus musculus"
"MC89","Oryctolagus cuniculus"
"NC88","Microtus cabrerae"
"NC83","Oryctolagus cuniculus"
"PB18","Microtus agrestis"
"NA99","Rattus norvegicus"
"NC36","Mustela nivalis"
"PC19","Oryctolagus cuniculus"
"PC72","Lepus granatensis"
"PC51","Mus spretus"
"NC19","Apodemus sylvaticus"
"NC85","Meles meles"
"NC84","Herpestes ichneumon"
"NB25","Mus spretus"
"MD74","Mus musculus"
"PC42","Mus musculus"
"NC77","Vulpes vulpes"
"NC23","Mus spretus"
"NC98","Oryctolagus cuniculus"
"NB19","Arvicola sapidus"
"NE10","Sciurus vulgaris"
