"utm10","especie"
"PD20","Talpa occidentalis"
"PD53","Suncus etruscus"
"PD53","Talpa occidentalis"
"PD44","Talpa occidentalis"
"NC23","Talpa occidentalis"
"NC13","Talpa occidentalis"
"PD42","Talpa occidentalis"
"PD61","Suncus etruscus"
"PD60","Talpa occidentalis"
"PD21","Talpa occidentalis"
"NC86","Erinaceus europaeus"
"NB80","Erinaceus europaeus"
"ND00","Suncus etruscus"
"NC19","Talpa occidentalis"
"ND10","Suncus etruscus"
"PD35","Erinaceus europaeus"
"NC09","Suncus etruscus"
"NA99","Suncus etruscus"
"ND17","Sorex granarius"
"NC27","Erinaceus europaeus"
"MC86","Talpa occidentalis"
"NC06","Suncus etruscus"
"ND82","Talpa occidentalis"
"PF22","Erinaceus europaeus"
"ND81","Talpa occidentalis"
"ND83","Talpa occidentalis"
"ND99","Erinaceus europaeus"
"ND60","Suncus etruscus"
"ND60","Talpa occidentalis"
"NF29","Erinaceus europaeus"
"NC06","Talpa occidentalis"
"NC87","Erinaceus europaeus"
"NB63","Erinaceus europaeus"
"NB61","Erinaceus europaeus"
"MC69","Talpa occidentalis"
"NC09","Talpa occidentalis"
"ND00","Talpa occidentalis"
"PG92","Erinaceus europaeus"
"PC61","Talpa occidentalis"
"NB90","Erinaceus europaeus"
"NF76","Erinaceus europaeus"
"PD17","Talpa occidentalis"
"PE47","Erinaceus europaeus"
"ND67","Talpa occidentalis"
"ND18","Talpa occidentalis"
"PF59","Crocidura russula"
"PF59","Galemys pyrenaicus"
"PF59","Neomys anomalus"
"NE81","Erinaceus europaeus"
"MD94","Sorex granarius"
"MD94","Sorex minutus"
"MD94","Talpa occidentalis"
"PF76","Galemys pyrenaicus"
"PE24","Galemys pyrenaicus"
"PE24","Talpa occidentalis"
"ND03","Erinaceus europaeus"
"NF94","Galemys pyrenaicus"
"NF94","Neomys anomalus"
"NF71","Galemys pyrenaicus"
"NC23","Suncus etruscus"
"NF62","Galemys pyrenaicus"
"NF62","Neomys anomalus"
"NF62","Talpa occidentalis"
"NE45","Erinaceus europaeus"
"NG56","Erinaceus europaeus"
"PB02","Erinaceus europaeus"
"PB02","Talpa occidentalis"
"NG55","Erinaceus europaeus"
"NF45","Crocidura russula"
"NF45","Neomys anomalus"
"NA99","Talpa occidentalis"
"PG84","Galemys pyrenaicus"
"PG84","Neomys anomalus"
"NG22","Galemys pyrenaicus"
"NG22","Neomys anomalus"
"NG32","Neomys anomalus"
"NB72","Suncus etruscus"
"NG35","Erinaceus europaeus"
"NE48","Talpa occidentalis"
"MD87","Erinaceus europaeus"
"NF97","Galemys pyrenaicus"
"NF97","Neomys anomalus"
"NG33","Neomys anomalus"
"ND47","Erinaceus europaeus"
"NB68","Erinaceus europaeus"
"PD43","Erinaceus europaeus"
"NC88","Erinaceus europaeus"
"NE77","Erinaceus europaeus"
"NB50","Erinaceus europaeus"
"QF19","Crocidura russula"
"NC56","Suncus etruscus"
"NC56","Talpa occidentalis"
"PB06","Suncus etruscus"
"PC42","Suncus etruscus"
"PC41","Talpa occidentalis"
"NC46","Suncus etruscus"
"NB72","Talpa occidentalis"
"NB27","Suncus etruscus"
"NB36","Suncus etruscus"
"NA09","Talpa occidentalis"
"NB00","Talpa occidentalis"
"NB25","Talpa occidentalis"
"NB36","Talpa occidentalis"
"NB22","Talpa occidentalis"
"NB34","Suncus etruscus"
"NB34","Talpa occidentalis"
"NB33","Suncus etruscus"
"NB41","Talpa occidentalis"
"NB31","Suncus etruscus"
"NB31","Talpa occidentalis"
"NB87","Suncus etruscus"
"NB87","Talpa occidentalis"
"NC83","Suncus etruscus"
"PD43","Suncus etruscus"
"PD43","Talpa occidentalis"
"NC35","Suncus etruscus"
"NC34","Talpa occidentalis"
"NC26","Talpa occidentalis"
"PC46","Suncus etruscus"
"PC46","Talpa occidentalis"
"PD61","Talpa occidentalis"
"NE10","Talpa occidentalis"
"PF08","Galemys pyrenaicus"
"NF98","Galemys pyrenaicus"
"PF08","Neomys anomalus"
"PF19","Neomys anomalus"
"NF84","Galemys pyrenaicus"
"NF84","Neomys anomalus"
"NE15","Talpa occidentalis"
"NE22","Sorex granarius"
"NE22","Talpa occidentalis"
"PF12","Galemys pyrenaicus"
"PF12","Neomys anomalus"
"PF12","Talpa occidentalis"
"NG61","Galemys pyrenaicus"
"NG61","Neomys anomalus"
"NE97","Galemys pyrenaicus"
"NG72","Galemys pyrenaicus"
"NG72","Neomys anomalus"
"NE97","Talpa occidentalis"
"PE07","Talpa occidentalis"
"NG64","Galemys pyrenaicus"
"NG64","Neomys anomalus"
"NF33","Talpa occidentalis"
"PG70","Talpa occidentalis"
"PF59","Talpa occidentalis"
"PG64","Galemys pyrenaicus"
"PG64","Neomys anomalus"
"PG64","Talpa occidentalis"
"PG93","Talpa occidentalis"
"NB78","Lepus granatensis"
"NB68","Lepus granatensis"
"PB32","Oryctolagus cuniculus"
"PB33","Oryctolagus cuniculus"
"NC77","Oryctolagus cuniculus"
"NC77","Lepus granatensis"
"NC66","Oryctolagus cuniculus"
"PC32","Oryctolagus cuniculus"
"NC67","Lepus granatensis"
"NC67","Oryctolagus cuniculus"
"NC87","Lepus granatensis"
"NC76","Oryctolagus cuniculus"
"NC76","Lepus granatensis"
"NC87","Oryctolagus cuniculus"
"NC66","Lepus granatensis"
"NC57","Oryctolagus cuniculus"
"NC86","Oryctolagus cuniculus"
"PC22","Oryctolagus cuniculus"
"PC11","Lepus granatensis"
"PC42","Oryctolagus cuniculus"
"PC32","Lepus granatensis"
"PC11","Oryctolagus cuniculus"
"PC52","Oryctolagus cuniculus"
"PC43","Oryctolagus cuniculus"
"PC02","Oryctolagus cuniculus"
"PC12","Lepus granatensis"
"PC12","Oryctolagus cuniculus"
"PC42","Lepus granatensis"
"PC21","Lepus granatensis"
"NC86","Lepus granatensis"
"PC52","Lepus granatensis"
"PC53","Oryctolagus cuniculus"
"PC01","Oryctolagus cuniculus"
"PC43","Lepus granatensis"
"NC75","Oryctolagus cuniculus"
"PC22","Lepus granatensis"
"PC21","Oryctolagus cuniculus"
"NC75","Lepus granatensis"
"NC78","Oryctolagus cuniculus"
"PB07","Lepus granatensis"
"NB77","Lepus granatensis"
"NB97","Lepus granatensis"
"NB77","Oryctolagus cuniculus"
"NC88","Lepus granatensis"
"NC88","Oryctolagus cuniculus"
"NC78","Lepus granatensis"
"NB86","Lepus granatensis"
"PB06","Lepus granatensis"
"NB97","Oryctolagus cuniculus"
"PB07","Oryctolagus cuniculus"
"NB86","Oryctolagus cuniculus"
"PC28","Oryctolagus cuniculus"
"PB06","Oryctolagus cuniculus"
"NB87","Lepus granatensis"
"NB76","Lepus granatensis"
"NB76","Oryctolagus cuniculus"
"PB32","Lepus granatensis"
"NB96","Lepus granatensis"
"NB96","Oryctolagus cuniculus"
"NC96","Oryctolagus cuniculus"
"NB67","Lepus granatensis"
"NC96","Lepus granatensis"
"NB79","Lepus granatensis"
"NB68","Oryctolagus cuniculus"
"NB79","Oryctolagus cuniculus"
"NB78","Oryctolagus cuniculus"
"NB67","Oryctolagus cuniculus"
"NB98","Lepus granatensis"
"PB08","Lepus granatensis"
"NB98","Oryctolagus cuniculus"
"PB08","Oryctolagus cuniculus"
"NB88","Lepus granatensis"
"NB88","Oryctolagus cuniculus"
"PC18","Lepus granatensis"
"PC18","Oryctolagus cuniculus"
"PC28","Lepus granatensis"
"PC27","Oryctolagus cuniculus"
"PC17","Oryctolagus cuniculus"
"NC68","Oryctolagus cuniculus"
"PC44","Oryctolagus cuniculus"
"NC99","Lepus granatensis"
"PC06","Lepus granatensis"
"PC29","Lepus granatensis"
"PD21","Oryctolagus cuniculus"
"NC98","Oryctolagus cuniculus"
"ND71","Lepus granatensis"
"NC99","Oryctolagus cuniculus"
"NC58","Lepus granatensis"
"NC68","Lepus granatensis"
"PC08","Oryctolagus cuniculus"
"NC97","Lepus granatensis"
"PE41","Oryctolagus cuniculus"
"PC59","Oryctolagus cuniculus"
"NE45","Oryctolagus cuniculus"
"NB59","Lepus granatensis"
"NE57","Oryctolagus cuniculus"
"NC50","Lepus granatensis"
"NB59","Oryctolagus cuniculus"
"PD20","Lepus granatensis"
"NC97","Oryctolagus cuniculus"
"PE51","Oryctolagus cuniculus"
"PD31","Oryctolagus cuniculus"
"PF70","Oryctolagus cuniculus"
"PC23","Oryctolagus cuniculus"
"PD20","Oryctolagus cuniculus"
"PC07","Oryctolagus cuniculus"
"PE20","Lepus granatensis"
"PC29","Oryctolagus cuniculus"
"NC63","Lepus granatensis"
"ND70","Oryctolagus cuniculus"
"NC50","Oryctolagus cuniculus"
"PD12","Oryctolagus cuniculus"
"PC27","Lepus granatensis"
"PC25","Oryctolagus cuniculus"
"PD33","Oryctolagus cuniculus"
"NG31","Oryctolagus cuniculus"
"PE61","Oryctolagus cuniculus"
"PC25","Lepus granatensis"
"PC06","Oryctolagus cuniculus"
"NE44","Oryctolagus cuniculus"
"NB54","Lepus granatensis"
"NC44","Oryctolagus cuniculus"
"PE88","Lepus granatensis"
"ND24","Oryctolagus cuniculus"
"ND06","Oryctolagus cuniculus"
"NC51","Oryctolagus cuniculus"
"NC51","Lepus granatensis"
"NC53","Lepus granatensis"
"PE51","Lepus granatensis"
"PE73","Oryctolagus cuniculus"
"MD94","Lepus granatensis"
"PE20","Oryctolagus cuniculus"
"NC34","Lepus granatensis"
"NC18","Lepus granatensis"
"PE21","Oryctolagus cuniculus"
"PF73","Lepus granatensis"
"NE34","Oryctolagus cuniculus"
"NC64","Lepus granatensis"
"NC63","Oryctolagus cuniculus"
"NC25","Lepus granatensis"
"ND05","Lepus granatensis"
"PG51","Oryctolagus cuniculus"
"NB17","Lepus granatensis"
"NB17","Oryctolagus cuniculus"
"NF54","Oryctolagus cuniculus"
"NB18","Oryctolagus cuniculus"
"PC24","Lepus granatensis"
"ND23","Oryctolagus cuniculus"
"NB27","Lepus granatensis"
"NC48","Oryctolagus cuniculus"
"NB27","Oryctolagus cuniculus"
"NG42","Oryctolagus cuniculus"
"NC74","Lepus granatensis"
"NB28","Lepus granatensis"
"NC28","Oryctolagus cuniculus"
"PG83","Oryctolagus cuniculus"
"NE77","Oryctolagus cuniculus"
"NB28","Oryctolagus cuniculus"
"PC23","Lepus granatensis"
"PE61","Lepus granatensis"
"PC07","Lepus granatensis"
"PD19","Lepus granatensis"
"PE10","Oryctolagus cuniculus"
"ND47","Oryctolagus cuniculus"
"NE86","Oryctolagus cuniculus"
"PE43","Lepus granatensis"
"PC35","Oryctolagus cuniculus"
"NE46","Oryctolagus cuniculus"
"ND10","Oryctolagus cuniculus"
"ND47","Lepus granatensis"
"MC89","Oryctolagus cuniculus"
"ND33","Oryctolagus cuniculus"
"NC98","Lepus granatensis"
"PD34","Lepus granatensis"
"MC79","Oryctolagus cuniculus"
"PD43","Lepus granatensis"
"NE56","Oryctolagus cuniculus"
"NE75","Oryctolagus cuniculus"
"PB33","Lepus granatensis"
"NC35","Lepus granatensis"
"NE85","Oryctolagus cuniculus"
"NG44","Oryctolagus cuniculus"
"PD21","Lepus granatensis"
"PD33","Lepus granatensis"
"NC39","Lepus granatensis"
"NC64","Oryctolagus cuniculus"
"ND80","Oryctolagus cuniculus"
"NF67","Oryctolagus cuniculus"
"PE41","Lepus granatensis"
"NE39","Oryctolagus cuniculus"
"NB18","Lepus granatensis"
"NC58","Oryctolagus cuniculus"
"ND67","Oryctolagus cuniculus"
"PD16","Oryctolagus cuniculus"
"MD61","Oryctolagus cuniculus"
"PE71","Lepus granatensis"
"PE72","Lepus granatensis"
"PD22","Oryctolagus cuniculus"
"PD03","Lepus granatensis"
"PF85","Lepus granatensis"
"PE33","Oryctolagus cuniculus"
"MD71","Oryctolagus cuniculus"
"MD60","Oryctolagus cuniculus"
"NE47","Oryctolagus cuniculus"
"MD73","Oryctolagus cuniculus"
"PC19","Oryctolagus cuniculus"
"PB15","Lepus granatensis"
"NC55","Lepus granatensis"
"NE43","Oryctolagus cuniculus"
"MC99","Oryctolagus cuniculus"
"MC88","Oryctolagus cuniculus"
"MC78","Oryctolagus cuniculus"
"MD70","Oryctolagus cuniculus"
"PE54","Lepus granatensis"
"PE03","Oryctolagus cuniculus"
"MC69","Oryctolagus cuniculus"
"PC08","Lepus granatensis"
"NF42","Oryctolagus cuniculus"
"NG45","Oryctolagus cuniculus"
"NG31","Lepus granatensis"
"NG22","Oryctolagus cuniculus"
"NC93","Lepus granatensis"
"MD80","Oryctolagus cuniculus"
"PD10","Oryctolagus cuniculus"
"PC19","Lepus granatensis"
"NE66","Oryctolagus cuniculus"
"PC39","Oryctolagus cuniculus"
"MD75","Oryctolagus cuniculus"
"NC30","Lepus granatensis"
"PD32","Oryctolagus cuniculus"
"ND64","Oryctolagus cuniculus"
"MD81","Oryctolagus cuniculus"
"PC30","Lepus granatensis"
"NB85","Lepus granatensis"
"NG24","Oryctolagus cuniculus"
"PC15","Lepus granatensis"
"PC17","Lepus granatensis"
"PC16","Lepus granatensis"
"PB34","Lepus granatensis"
"PB24","Oryctolagus cuniculus"
"PB34","Oryctolagus cuniculus"
"PC16","Oryctolagus cuniculus"
"PC04","Lepus granatensis"
"PC04","Oryctolagus cuniculus"
"NC85","Lepus granatensis"
"NC95","Lepus granatensis"
"NC85","Oryctolagus cuniculus"
"NC32","Lepus granatensis"
"PC09","Lepus granatensis"
"ND90","Lepus granatensis"
"PD10","Lepus granatensis"
"PD11","Lepus granatensis"
"PD11","Oryctolagus cuniculus"
"NC89","Lepus granatensis"
"ND80","Lepus granatensis"
"PD00","Lepus granatensis"
"ND90","Oryctolagus cuniculus"
"PC09","Oryctolagus cuniculus"
"PD00","Oryctolagus cuniculus"
"ND91","Oryctolagus cuniculus"
"PC54","Oryctolagus cuniculus"
"ND70","Lepus granatensis"
"NC79","Lepus granatensis"
"NC89","Oryctolagus cuniculus"
"NF35","Oryctolagus cuniculus"
"ND37","Oryctolagus cuniculus"
"ND46","Oryctolagus cuniculus"
"ND57","Oryctolagus cuniculus"
"PC45","Lepus granatensis"
"PC44","Lepus granatensis"
"MD71","Lepus granatensis"
"NF35","Lepus granatensis"
"NC59","Oryctolagus cuniculus"
"NF27","Oryctolagus cuniculus"
"NC27","Lepus granatensis"
"NC59","Lepus granatensis"
"NC44","Lepus granatensis"
"ND36","Oryctolagus cuniculus"
"PC58","Lepus granatensis"
"NE82","Oryctolagus cuniculus"
"PB24","Lepus granatensis"
"NC53","Oryctolagus cuniculus"
"NC72","Oryctolagus cuniculus"
"NB93","Lepus granatensis"
"PB26","Lepus granatensis"
"NB24","Lepus granatensis"
"PB39","Lepus granatensis"
"NC21","Lepus granatensis"
"NB65","Lepus granatensis"
"NB95","Lepus granatensis"
"NE01","Oryctolagus cuniculus"
"ND28","Oryctolagus cuniculus"
"PB16","Lepus granatensis"
"PC10","Lepus granatensis"
"NB29","Lepus granatensis"
"NC57","Lepus granatensis"
"PD34","Oryctolagus cuniculus"
"NE99","Oryctolagus cuniculus"
"NC32","Oryctolagus cuniculus"
"NB38","Lepus granatensis"
"PE43","Oryctolagus cuniculus"
"NC45","Lepus granatensis"
"NE78","Oryctolagus cuniculus"
"NC11","Oryctolagus cuniculus"
"PE32","Oryctolagus cuniculus"
"PF57","Oryctolagus cuniculus"
"NE10","Oryctolagus cuniculus"
"PB27","Lepus granatensis"
"NF34","Oryctolagus cuniculus"
"NC92","Oryctolagus cuniculus"
"ND24","Lepus granatensis"
"NF45","Oryctolagus cuniculus"
"NC61","Lepus granatensis"
"PC51","Oryctolagus cuniculus"
"NC80","Lepus granatensis"
"NC81","Lepus granatensis"
"PB17","Lepus granatensis"
"NB26","Oryctolagus cuniculus"
"NE89","Oryctolagus cuniculus"
"NC31","Lepus granatensis"
"NB29","Oryctolagus cuniculus"
"PD19","Oryctolagus cuniculus"
"NE65","Oryctolagus cuniculus"
"NC21","Oryctolagus cuniculus"
"NE96","Oryctolagus cuniculus"
"PC45","Oryctolagus cuniculus"
"MC86","Oryctolagus cuniculus"
"ND18","Oryctolagus cuniculus"
"NE76","Oryctolagus cuniculus"
"NB58","Lepus granatensis"
"PE44","Lepus granatensis"
"PF59","Oryctolagus cuniculus"
"PC41","Lepus granatensis"
"NC47","Oryctolagus cuniculus"
"NC29","Lepus granatensis"
"NE87","Oryctolagus cuniculus"
"NC24","Lepus granatensis"
"NC47","Lepus granatensis"
"NB66","Lepus granatensis"
"NC56","Oryctolagus cuniculus"
"NC65","Oryctolagus cuniculus"
"NC83","Oryctolagus cuniculus"
"PD30","Oryctolagus cuniculus"
"PD50","Oryctolagus cuniculus"
"ND91","Lepus granatensis"
"PD02","Oryctolagus cuniculus"
"NF86","Oryctolagus cuniculus"
"PE63","Lepus granatensis"
"NB75","Lepus granatensis"
"NC17","Lepus granatensis"
"PC53","Lepus granatensis"
"NC94","Lepus granatensis"
"PG70","Oryctolagus cuniculus"
"NC42","Oryctolagus cuniculus"
"ND78","Lepus granatensis"
"PE36","Lepus granatensis"
"PE31","Lepus granatensis"
"PE36","Oryctolagus cuniculus"
"PB25","Lepus granatensis"
"PF57","Lepus granatensis"
"NC41","Lepus granatensis"
"PD61","Oryctolagus cuniculus"
"NC83","Lepus granatensis"
"PD52","Oryctolagus cuniculus"
"NF48","Oryctolagus cuniculus"
"ND29","Oryctolagus cuniculus"
"PC35","Lepus granatensis"
"NC90","Lepus granatensis"
"NF93","Oryctolagus cuniculus"
"PF17","Oryctolagus cuniculus"
"NC71","Lepus granatensis"
"NC69","Lepus granatensis"
"NB19","Lepus granatensis"
"NB39","Oryctolagus cuniculus"
"PE72","Oryctolagus cuniculus"
"ND71","Oryctolagus cuniculus"
"NB58","Oryctolagus cuniculus"
"PF01","Lepus granatensis"
"NE36","Oryctolagus cuniculus"
"NB85","Oryctolagus cuniculus"
"MD93","Oryctolagus cuniculus"
"PD31","Lepus granatensis"
"PE34","Lepus granatensis"
"NC84","Lepus granatensis"
"NC45","Oryctolagus cuniculus"
"PF07","Oryctolagus cuniculus"
"PF16","Oryctolagus cuniculus"
"NC71","Oryctolagus cuniculus"
"PC02","Lepus granatensis"
"NC46","Oryctolagus cuniculus"
"NF76","Oryctolagus cuniculus"
"PG82","Lepus granatensis"
"NC43","Oryctolagus cuniculus"
"NC20","Lepus granatensis"
"PF38","Lepus granatensis"
"NC60","Oryctolagus cuniculus"
"NG81","Oryctolagus cuniculus"
"PF59","Lepus granatensis"
"NB69","Oryctolagus cuniculus"
"PF67","Lepus granatensis"
"NB26","Lepus granatensis"
"PF53","Lepus granatensis"
"PE34","Oryctolagus cuniculus"
"NB56","Lepus granatensis"
"QF08","Lepus granatensis"
"PF69","Oryctolagus cuniculus"
"NC72","Lepus granatensis"
"PF67","Oryctolagus cuniculus"
"ND79","Oryctolagus cuniculus"
"NC37","Lepus granatensis"
"PF38","Oryctolagus cuniculus"
