"utm10","centr_x","centr_y","especie","ordem","recente","confirmado"
"PF72",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE46",NA,NA,"Sorex granarius",NA,NA,NA
"ND02",NA,NA,"Sorex granarius",NA,NA,NA
"ND02",NA,NA,"Talpa occidentalis",NA,NA,NA
"PE22",NA,NA,"Talpa occidentalis",NA,NA,NA
"PB32",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB27",NA,NA,"Crocidura russula",NA,NA,NA
"NB17",NA,NA,"Crocidura russula",NA,NA,NA
"NB18",NA,NA,"Crocidura russula",NA,NA,NA
"NB28",NA,NA,"Crocidura russula",NA,NA,NA
"ND31",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC39",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND30",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND52",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG40",NA,NA,"Sorex granarius",NA,NA,NA
"NG40",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF58",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND26",NA,NA,"Sorex granarius",NA,NA,NA
"NF77",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG23",NA,NA,"Neomys anomalus",NA,NA,NA
"NG23",NA,NA,"Sorex granarius",NA,NA,NA
"NG23",NA,NA,"Sorex minutus",NA,NA,NA
"NG33",NA,NA,"Sorex minutus",NA,NA,NA
"PF19",NA,NA,"Sorex granarius",NA,NA,NA
"PF19",NA,NA,"Sorex minutus",NA,NA,NA
"PE49",NA,NA,"Sorex granarius",NA,NA,NA
"PF16",NA,NA,"Sorex granarius",NA,NA,NA
"PF16",NA,NA,"Sorex minutus",NA,NA,NA
"PG11",NA,NA,"Neomys anomalus",NA,NA,NA
"PG11",NA,NA,"Sorex granarius",NA,NA,NA
"PG11",NA,NA,"Sorex minutus",NA,NA,NA
"PF13",NA,NA,"Sorex granarius",NA,NA,NA
"NE29",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG22",NA,NA,"Sorex granarius",NA,NA,NA
"NG22",NA,NA,"Sorex minutus",NA,NA,NA
"NG22",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF49",NA,NA,"Sorex granarius",NA,NA,NA
"NF49",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG61",NA,NA,"Sorex granarius",NA,NA,NA
"PG83",NA,NA,"Sorex granarius",NA,NA,NA
"PG83",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG24",NA,NA,"Neomys anomalus",NA,NA,NA
"NG24",NA,NA,"Sorex granarius",NA,NA,NA
"NG24",NA,NA,"Sorex minutus",NA,NA,NA
"NG24",NA,NA,"Talpa occidentalis",NA,NA,NA
"QF29",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF71",NA,NA,"Neomys anomalus",NA,NA,NA
"NF71",NA,NA,"Sorex granarius",NA,NA,NA
"NF71",NA,NA,"Sorex minutus",NA,NA,NA
"NE46",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC35",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC67",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC77",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND69",NA,NA,"Sorex granarius",NA,NA,NA
"MD97",NA,NA,"Sorex granarius",NA,NA,NA
"MD86",NA,NA,"Sorex granarius",NA,NA,NA
"MD97",NA,NA,"Talpa occidentalis",NA,NA,NA
"MD74",NA,NA,"Sorex granarius",NA,NA,NA
"ND39",NA,NA,"Sorex granarius",NA,NA,NA
"MD74",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB33",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC66",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC76",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC86",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC02",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC32",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG82",NA,NA,"Neomys anomalus",NA,NA,NA
"NG82",NA,NA,"Sorex granarius",NA,NA,NA
"NC75",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC78",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC18",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB68",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB98",NA,NA,"Talpa occidentalis",NA,NA,NA
"PB07",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC28",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC46",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC27",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC85",NA,NA,"Crocidura russula",NA,NA,NA
"NC86",NA,NA,"Crocidura russula",NA,NA,NA
"NC87",NA,NA,"Crocidura russula",NA,NA,NA
"NC88",NA,NA,"Crocidura russula",NA,NA,NA
"NB17",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB27",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB18",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG51",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB28",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE52",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC06",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC08",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC32",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC96",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC83",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC65",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC19",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC99",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG82",NA,NA,"Crocidura russula",NA,NA,NA
"NC97",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF69",NA,NA,"Crocidura russula",NA,NA,NA
"QG10",NA,NA,"Crocidura russula",NA,NA,NA
"PF87",NA,NA,"Crocidura russula",NA,NA,NA
"PF67",NA,NA,"Crocidura russula",NA,NA,NA
"QF07",NA,NA,"Crocidura russula",NA,NA,NA
"QF08",NA,NA,"Crocidura russula",NA,NA,NA
"QF08",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF99",NA,NA,"Crocidura russula",NA,NA,NA
"PG90",NA,NA,"Crocidura russula",NA,NA,NA
"PG83",NA,NA,"Crocidura russula",NA,NA,NA
"PF79",NA,NA,"Crocidura russula",NA,NA,NA
"PG70",NA,NA,"Crocidura russula",NA,NA,NA
"PG93",NA,NA,"Crocidura russula",NA,NA,NA
"NC98",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC09",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC95",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC17",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD20",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD53",NA,NA,"Suncus etruscus",NA,NA,NA
"PD53",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD44",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC23",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC13",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD42",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD61",NA,NA,"Suncus etruscus",NA,NA,NA
"PD60",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD21",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC86",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB80",NA,NA,"Erinaceus europaeus",NA,NA,NA
"ND00",NA,NA,"Suncus etruscus",NA,NA,NA
"NC19",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND10",NA,NA,"Suncus etruscus",NA,NA,NA
"PD35",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NC09",NA,NA,"Suncus etruscus",NA,NA,NA
"NA99",NA,NA,"Suncus etruscus",NA,NA,NA
"ND17",NA,NA,"Sorex granarius",NA,NA,NA
"NC27",NA,NA,"Erinaceus europaeus",NA,NA,NA
"MC86",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC06",NA,NA,"Suncus etruscus",NA,NA,NA
"ND82",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF22",NA,NA,"Erinaceus europaeus",NA,NA,NA
"ND81",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND83",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND99",NA,NA,"Erinaceus europaeus",NA,NA,NA
"ND60",NA,NA,"Suncus etruscus",NA,NA,NA
"ND60",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF29",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NC06",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC87",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB63",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB61",NA,NA,"Erinaceus europaeus",NA,NA,NA
"MC69",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC09",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND00",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG92",NA,NA,"Erinaceus europaeus",NA,NA,NA
"PC61",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB90",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NF76",NA,NA,"Erinaceus europaeus",NA,NA,NA
"PD17",NA,NA,"Talpa occidentalis",NA,NA,NA
"PE47",NA,NA,"Erinaceus europaeus",NA,NA,NA
"ND67",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND18",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF59",NA,NA,"Crocidura russula",NA,NA,NA
"PF59",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"PF59",NA,NA,"Neomys anomalus",NA,NA,NA
"NE81",NA,NA,"Erinaceus europaeus",NA,NA,NA
"MD94",NA,NA,"Sorex granarius",NA,NA,NA
"MD94",NA,NA,"Sorex minutus",NA,NA,NA
"MD94",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF76",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"PE24",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"PE24",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND03",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NF94",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NF94",NA,NA,"Neomys anomalus",NA,NA,NA
"NF71",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NC23",NA,NA,"Suncus etruscus",NA,NA,NA
"NF62",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NF62",NA,NA,"Neomys anomalus",NA,NA,NA
"NF62",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE45",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NG56",NA,NA,"Erinaceus europaeus",NA,NA,NA
"PB02",NA,NA,"Erinaceus europaeus",NA,NA,NA
"PB02",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG55",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NF45",NA,NA,"Crocidura russula",NA,NA,NA
"NF45",NA,NA,"Neomys anomalus",NA,NA,NA
"NA99",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG84",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"PG84",NA,NA,"Neomys anomalus",NA,NA,NA
"NG22",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NG22",NA,NA,"Neomys anomalus",NA,NA,NA
"NG32",NA,NA,"Neomys anomalus",NA,NA,NA
"NB72",NA,NA,"Suncus etruscus",NA,NA,NA
"NG35",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NE48",NA,NA,"Talpa occidentalis",NA,NA,NA
"MD87",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NF97",NA,NA,"Galemys pyrenaicus",NA,NA,NA
"NF97",NA,NA,"Neomys anomalus",NA,NA,NA
"NG33",NA,NA,"Neomys anomalus",NA,NA,NA
"ND47",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB68",NA,NA,"Erinaceus europaeus",NA,NA,NA
"PD43",NA,NA,"Erinaceus europaeus",NA,NA,NA
